iter	Passed	Remaining
455	954	1139
456	956	1136
457	957	1133
458	959	1130
459	960	1127
460	961	1124
461	962	1121
462	963	1118
463	965	1114
464	966	1111
465	967	1108
466	968	1105
467	969	1101
468	970	1098
469	971	1095
470	972	1092
471	973	1089
472	974	1086
473	984	1092
474	988	1092
475	992	1092
476	995	1090
477	997	1088
478	999	1086
479	1000	1084
480	1002	1081
481	1004	1079
482	1006	1077
483	1007	1074
484	1009	1071
485	1010	1068
486	1011	1065
487	1012	1062
488	1014	1059
489	1015	1056
490	1016	1053
491	1017	1050
492	1018	1047
493	1019	1044
494	1020	1041
495	1021	1038
496	1022	1035
497	1023	1032
498	1031	1035
499	1037	1037
500	1040	1036
501	1043	1034
502	1045	1032
503	1047	1030
504	1049	1028
505	1050	1025
506	1052	1023
507	1054	1021
508	1055	1018
509	1057	1015
510	1058	1012
511	1059	1010
512	1061	1007
513	1062	1004
514	1063	1001
515	1064	998
516	1065	995
517	1066	992
518	1067	989
519	1068	986
520	1069	983
521	1070	980
522	1071	977
523	1072	974
524	1073	971
525	1082	975
526	1086	975
527	1089	973
528	1092	972
529	1094	970
530	1096	968
531	1098	966
532	1100	963
533	1101	961
534	1103	959
535	1105	956
536	1106	953
537	1107	951
538	1108	948
539	1109	945
540	1111	942
541	1112	939
542	1113	937
543	1114	934
544	1115	931
545	1116	928
546	1117	925
547	1118	922
548	1119	919
549	1120	916
550	1121	914
551	1122	911
552	1123	908
553	1132	911
554	1136	910
555	1138	909
556	1141	908
557	1143	906
558	1145	904
559	1148	902
560	1149	899
561	1151	897
562	1153	895
563	1154	892
564	1155	889
565	1157	887
566	1158	884
567	1159	882
568	1161	879
569	1162	876
570	1163	874
571	1164	871
572	1165	868
573	1166	865
574	1167	863
575	1168	860
576	1169	857
577	1170	854
578	1171	851
579	1172	849
580	1182	852
581	1186	852
582	1189	850
583	1191	848
584	1193	846
585	1195	844
586	1197	842
587	1199	840
588	1200	837
589	1202	835
590	1204	833
591	1205	830
592	1206	828
593	1208	825
594	1209	823
595	1210	820
596	1211	817
597	1212	815
598	1213	812
599	1215	810
600	1216	807
601	1217	805
602	1218	802
603	1219	799
604	1220	797
605	1221	794
606	1226	794
607	1233	795
608	1237	794
609	1240	792
610	1242	790
611	1244	789
612	1246	787
613	1248	784
614	1250	782
615	1252	780
616	1253	778
617	1255	775
618	1256	773
619	1257	770
620	1259	768
621	1261	766
622	1262	763
623	1263	761
624	1264	758
625	1265	756
626	1267	753
627	1267	751
628	1269	748
629	1273	748
630	1281	749
631	1284	748
632	1289	747
633	1291	745
634	1293	743
635	1295	741
636	1297	739
637	1298	736
638	1300	734
639	1301	732
640	1303	729
641	1304	727
642	1305	724
643	1307	722
644	1308	720
645	1310	717
646	1311	715
647	1312	712
648	1313	710
649	1314	707
650	1315	705
651	1316	702
652	1317	700
653	1318	697
654	1319	694
655	1330	697
656	1334	696
657	1336	694
658	1339	693
659	1341	691
660	1343	689
661	1345	686
662	1346	684
663	1348	682
664	1350	680
665	1351	677
666	1353	675
667	1354	673
668	1355	670
669	1356	668
670	1358	665
671	1359	663
672	1360	660
673	1361	658
674	1362	655
675	1363	653
676	1364	650
677	1365	648
678	1366	646
679	1367	643
680	1369	641
681	1378	642
682	1381	641
683	1384	639
684	1387	638
685	1389	636
686	1391	634
687	1393	632
688	1395	629
689	1397	627
690	1398	625
691	1399	623
692	1401	620
693	1402	618
694	1403	616
695	1405	613
696	1406	611
697	1407	609
698	1409	606
699	1410	604
700	1411	602
701	1412	599
702	1413	597
703	1414	594
704	1415	592
705	1416	589
706	1417	587
707	1422	586
708	1429	586
709	1432	585
710	1435	583
711	1437	581
712	1439	579
713	1440	577
714	1442	575
715	1443	572
716	1445	570
717	1446	568
718	1447	565
719	1448	563
720	1449	561
721	1451	558
722	1452	556
723	1453	554
724	1454	551
725	1455	549
726	1456	546
727	1457	544
728	1457	541
729	1458	539
730	1459	537
731	1460	534
732	1461	532
733	1462	529
734	1463	527
735	1464	525
736	1465	522
737	1466	520
738	1468	518
739	1477	518
740	1480	517
741	1483	515
742	1486	514
743	1488	512
744	1490	510
745	1492	508
746	1494	506
747	1495	503
748	1497	501
749	1499	499
750	1500	497
751	1501	495
752	1502	492
753	1504	490
754	1505	488
755	1506	486
756	1507	483
757	1508	481
758	1510	479
759	1511	477
760	1512	474
761	1513	472
762	1514	470
763	1515	468
764	1516	465
765	1519	464
766	1527	463
767	1530	462
768	1533	460
769	1536	459
770	1538	457
771	1540	455
772	1542	453
773	1544	450
774	1546	448
775	1547	446
776	1549	444
777	1550	442
778	1552	440
779	1553	438
780	1554	435
781	1555	433
782	1557	431
783	1558	429
784	1559	427
785	1560	424
786	1561	422
787	1562	420
788	1563	418
789	1564	415
790	1565	413
791	1566	411
792	1576	411
793	1579	409
794	1582	408
795	1584	406
796	1587	404
797	1589	402
798	1590	400
799	1592	398
800	1594	396
801	1595	393
802	1597	391
803	1598	389
804	1600	387
805	1601	385
806	1602	383
807	1603	381
808	1605	378
809	1606	376
810	1609	375
811	1613	373
812	1617	372
813	1622	370
814	1626	369
815	1629	367
816	1631	365
817	1634	363
818	1636	361
819	1638	359
820	1640	357
821	1642	355
822	1644	353
823	1645	351
824	1646	349
825	1648	347
826	1649	345
827	1650	342
828	1651	340
829	1653	338
830	1654	336
831	1655	334
832	1656	332
833	1657	329
834	1658	327
835	1659	325
836	1660	323
837	1661	321
838	1662	319
839	1665	317
840	1673	316
841	1677	314
842	1680	312
843	1682	310
844	1684	309
845	1686	307
846	1688	305
847	1690	302
848	1692	300
849	1693	298
850	1695	296
851	1696	294
852	1697	292
853	1699	290
854	1700	288
855	1701	286
856	1702	284
857	1703	281
858	1705	279
859	1706	277
860	1707	275
